radial_power_spectrum_mean,spectral_slope,spectral_flatness,high_freq_ratio,rgb_corr_mean,rgb_corr_std,cb_kurtosis,cr_kurtosis,cb_residual_kurtosis,cr_residual_kurtosis,contrast,homogeneity,energy,correlation,label
1717294.3389376737,-3.6089866721491615,0.0003485718513542682,3.78585513071538e-06,0.9805663228034973,0.011760994791984558,5.470314576882351,3.613757000790759,3.7447879314422607,3.9218666553497314,27.05107457185297,0.3482561857873905,0.06003344764792843,0.9385109741061114,1
1938155.5841340155,-2.9942677990079947,0.0010435761698639797,3.180925532156064e-05,0.9609951972961426,0.023085666820406914,3.2614337643453077,3.310877070266602,5.78032112121582,5.520057678222656,55.350213587798585,0.2542311972211283,0.053410651143308376,0.9075059220954683,1
1205290.613412712,-3.2508383741902733,0.00032526558788849313,7.828723553440904e-06,0.934688150882721,0.04079142585396767,7.167858290343657,5.5766114871136825,7.7136311531066895,6.623190402984619,11.311551605120838,0.6920537335239647,0.16186261846382088,0.9679325585028841,1
2608235.9977348023,-4.141226512605118,0.00010500970050718233,9.585359972519428e-07,0.7323377728462219,0.17972275614738464,3.5290761108749997,3.41785727469834,10.971051216125488,4.3841753005981445,34.672454151042416,0.45121278682381977,0.0681207236215566,0.9400178895382773,1
1247449.0381581062,-4.379984780820455,6.695887410803517e-05,5.556838857759674e-07,0.8045656681060791,0.011719146743416786,3.4126000201455335,2.297770932806543,4.518477916717529,3.5698156356811523,17.930094260844324,0.5546401814110256,0.08652478712729654,0.948340577155133,1
2163986.5865068454,-3.1331320093562587,0.0001295148994394861,3.478785240829304e-06,0.818935215473175,0.1119491457939148,2.5503170577282948,1.9259314512213195,6.537538528442383,7.399657726287842,6.632668089886195,0.6724317201898816,0.09135583386653882,0.9823982245372221,1
1002160.0984447801,-2.1763117357205384,0.001338618286225063,0.00010148840641997283,0.9488625526428223,0.034780267626047134,4.371976484287927,4.259052037249167,3.5600368976593018,3.7266440391540527,14.691426487420538,0.3439061002475672,0.0564327443527603,0.9192721090258312,1
5245250.319689151,-4.160220796679561,1.7754924722102273e-05,2.497182259909691e-07,0.6763493418693542,0.21799932420253754,2.6214851401834984,2.2499736814179774,7.152653217315674,4.422536849975586,9.370743905099397,0.7510869870866034,0.21809152464797107,0.9889409979805394,1
2993614.077413734,-4.007630516536654,0.00010895360346358733,1.5050970782250585e-06,0.9052478671073914,0.061824534088373184,4.394628670805062,6.133987954606207,5.048965930938721,7.750292778015137,19.738559980617854,0.5368660592784426,0.08475568493538795,0.9699738200125894,1
2322206.3725188468,-3.289287042258425,0.00011341161044981613,3.293731410772155e-06,0.45902884006500244,0.2678799033164978,3.3677058176297012,2.965950157863299,31.115737915039062,31.7611026763916,7.283016677130125,0.6488550313944472,0.11384362240442036,0.9822395809828457,1
3263498.397005813,-3.465229236306194,9.815747208545862e-05,1.7431245683761583e-06,0.702265739440918,0.18203070759773254,2.3456505482187917,4.017605816719991,11.85178279876709,18.563831329345703,8.227352866644196,0.7293647196113427,0.3847146232536041,0.9841428519734979,1
1001749.3674889258,-3.823490454480211,0.000283332712783743,2.483683622949999e-06,0.6587675213813782,0.19207999110221863,4.7750960919862155,9.671900862021648,8.686782836914062,19.670812606811523,18.377807555641883,0.4168635885482845,0.056400128006991096,0.9307963257616877,1
